epoch,train_loss,train_accuracy,test_loss,test_accuracy,f1_score,mcc,confusion_matrix
12,,,0.9837309569120407,50.5,0.458961038961039,0.37638161293064026,"[[ 0  1  0 41]
 [ 0 72  0 25]
 [ 0  2  0 26]
 [ 0  4  0 29]]"
13,,,0.9685384631156921,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
14,,,0.9982892423868179,53.5,0.4287623310193643,0.27275015908288863,"[[ 0 15  0 27]
 [ 0 92  0  5]
 [ 0 16  0 12]
 [ 0 18  0 15]]"
15,,,1.0055675357580185,54.0,0.42993333022518526,0.2774127483042142,"[[ 0 16  0 26]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 18  0 15]]"
16,,,0.9668921232223511,51.0,0.46515381218722396,0.4003411767507578,"[[ 0  1  0 41]
 [ 0 71  0 26]
 [ 0  1  0 27]
 [ 0  2  0 31]]"
17,,,0.9993883371353149,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
18,,,0.9602193981409073,52.5,0.4465755044136192,0.31615621438923014,"[[ 0 10  0 32]
 [ 0 83  0 14]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
19,,,0.9695485234260559,53.5,0.4464090909090909,0.30660790723291004,"[[ 0 11  0 31]
 [ 0 89  0  8]
 [ 0  8  0 20]
 [ 0 15  0 18]]"
20,,,0.9502642601728439,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
21,,,0.9475506544113159,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
